evaluation,de-identified
1.3.6.1.4.1.14519.5.2.1.9203.4016.239540946010958472817038615785,1.3.6.1.4.1.14519.5.2.1.8700.9668.179359992718649753488498975347
1.3.6.1.4.1.14519.5.2.1.9999.103.1073470778524104417000840924442,1.3.6.1.4.1.14519.5.2.1.8700.9668.171661560330094235766768858259
1.3.6.1.4.1.14519.5.2.1.9999.103.1940962789103498848973359638200,1.3.6.1.4.1.14519.5.2.1.8700.9668.386694405859334510001787525301
1.3.6.1.4.1.14519.5.2.1.9999.103.2159801235948285747498355820028,1.3.6.1.4.1.14519.5.2.1.8700.9668.725076288525600208456274074324
2.25.101046349387302233670999644038516817398,1.3.6.1.4.1.14519.5.2.1.8700.9668.254254249295723352924321328961
2.25.101106732735221667664574875592545648118,1.3.6.1.4.1.14519.5.2.1.8700.9668.278596422549353087180836828882
2.25.101258316809433709051119099490965503478,1.3.6.1.4.1.14519.5.2.1.8700.9668.173447059196824485611915463297
2.25.101286428546057020323384040755423722998,1.3.6.1.4.1.14519.5.2.1.8700.9668.301972874328244528227310431774
2.25.101440559805693895308381897091846880758,1.3.6.1.4.1.14519.5.2.1.8700.9668.246648060410521982422872099803
2.25.101565514106062454737095866965399551478,1.3.6.1.4.1.14519.5.2.1.8700.9668.170730542475622853750918206631
2.25.101685929425000571961909102706037472758,1.3.6.1.4.1.14519.5.2.1.8700.9668.307824114928565367342695710521
2.25.101708788334449187508591592006588415478,1.3.6.1.4.1.14519.5.2.1.8700.9668.283011894306586090265678284859
2.25.101723838120059584590839173647674490358,1.3.6.1.4.1.14519.5.2.1.8700.9668.267365162001395670907814211162
2.25.101795700440304897772966645816947752438,1.3.6.1.4.1.14519.5.2.1.8700.9668.132004954257110993454781213596
2.25.101798383105887630763437563215106129398,1.3.6.1.4.1.14519.5.2.1.8700.9668.773274024364302202919483996237
2.25.101830218170008299888247713077510389238,1.3.6.1.4.1.14519.5.2.1.8700.9668.839947010001866681311306390635
2.25.101910214449558140018594226436444896758,1.3.6.1.4.1.14519.5.2.1.8700.9668.206112483799424693373311324610
2.25.102001525699137454810314161774646640118,1.3.6.1.4.1.14519.5.2.1.8700.9668.210139182860500413193097020198
2.25.102076918426304403611324802262346874358,1.3.6.1.4.1.14519.5.2.1.8700.9668.219389602045975645221623008880
2.25.102132655042492376001500172463688498678,1.3.6.1.4.1.14519.5.2.1.8700.9668.110760953619427321039844287002
2.25.102158921951351542628664248057263144438,1.3.6.1.4.1.14519.5.2.1.8700.9668.143570609031196486700081987752
2.25.102263167990742936216139705380796743158,1.3.6.1.4.1.14519.5.2.1.8700.9668.211849754632995583851443490498
2.25.103683748751664324355276346796308807158,1.3.6.1.4.1.14519.5.2.1.8700.9668.801540775225540227356316963708
2.25.103697504345240050929569337896966143478,1.3.6.1.4.1.14519.5.2.1.8700.9668.167031073998565671949153563719
2.25.103878804922507130012536460292558274038,1.3.6.1.4.1.14519.5.2.1.8700.9668.182950331901755861762229853125
2.25.104064125140599370296671391140470701558,1.3.6.1.4.1.14519.5.2.1.8700.9668.254036205965626110360734042811
2.25.104427610877568000223934867849860464118,1.3.6.1.4.1.14519.5.2.1.8700.9668.228194024253997497671977564417
2.25.104522098129290680167822824559984118,1.3.6.1.4.1.14519.5.2.1.8700.9668.125264878287277323550701877947
2.25.104627469463481608014018214012659547638,1.3.6.1.4.1.14519.5.2.1.8700.9668.287017045534050969321412355112
2.25.104693999332248898634903952706355445238,1.3.6.1.4.1.14519.5.2.1.8700.9668.246917270063973969085704606467
2.25.104718092616469486419966149421652622838,1.3.6.1.4.1.14519.5.2.1.8700.9668.130550730391148699307124694169
2.25.104745213208779744245367795451292138998,1.3.6.1.4.1.14519.5.2.1.8700.9668.321912318658976499440911871730
2.25.104779080079128091679115531748302765558,1.3.6.1.4.1.14519.5.2.1.8700.9668.180585804957102169714948117861
2.25.104793160508170126737192656379156479478,1.3.6.1.4.1.14519.5.2.1.8700.9668.159019527060047596877943679962
2.25.104911952045917514114406912436532264438,1.3.6.1.4.1.14519.5.2.1.8700.9668.101213242174627531604587153211
2.25.106446149953292483026869575554023669238,1.3.6.1.4.1.14519.5.2.1.8700.9668.555016527434840774909976676495
2.25.106461954783291641048254423668956446198,1.3.6.1.4.1.14519.5.2.1.8700.9668.289834788775974734227766096544
2.25.106493193259348577762602494145414675958,1.3.6.1.4.1.14519.5.2.1.8700.9668.439743242475480309344324160999
2.25.10659488452010432540111660361522462198,1.3.6.1.4.1.14519.5.2.1.8700.9668.787380668899465521717502559303
2.25.106696577894634882887030440981723463158,1.3.6.1.4.1.14519.5.2.1.8700.9668.286026708849520789102413169068
2.25.106733371057165694674087194824539749878,1.3.6.1.4.1.14519.5.2.1.8700.9668.325555975380881514610442461551
2.25.106778625787453029892398939161251921398,1.3.6.1.4.1.14519.5.2.1.8700.9668.144414424704843224483647523796
